Country,ABV,Continente,Gun_100,Renda_per_Capta,PIB_PORCENTO,Inv_per_cap,Distribuicao_Renda,IDH,Media_Estudo_Aanos,Por_Desemp,Forca_de_Trabalho,Desempregados_Jovens_Per,Imposto_perc_PIB,Juros_Per,Inflacao_Per,Export_Dolar,Import_Dolar,Hom_1000
Palestine,PSE,Asia,1.101,4300,5.7,432.21103922323937,34.5,0.6859999999999999,9.1,27.9,1240000,40.7,13.4,5.8,0.2,2126000000,6565000000,2.03075
Panama,PAN,America_do_Norte,11.862,25400,3.2,876.4830381377471,50.7,0.7889999999999999,10.2,6,1633000,11.5,20.1,7.52,0.9,15500000000,21910000000,15.201657142857142
Paraguay,PRY,America_do_Sul,16.0625,12800,5,632.7426643910419,51.7,0.702,8.4,5.7,3428000,20.8,14.2,17,3.6,11730000000,11350000000,5.18525
Peru,PER,America_do_Sul,2.262,13500,3.8,521.888257938693,45.3,0.75,9.2,6.9,17030000,15.2,27.1,16.6,2.8,44920000000,38650000000,0.4888142857142857
Philippines,PHL,Asia,3.09,8400,2.7,223.66270465951035,44.4,0.699,9.3,5.7,42780000,7.7,15.6,5.63,2.9,48200000000,89390000000,7.470433333333333
Poland,POL,Europa,1.99887,29600,4.9,1436.0492825128297,30.8,0.8650000000000001,12.3,4.9,17600000,17.7,39.5,4.8,2,224600000000,223800000000,0.041671428571428575
Portugal,PRT,Europa,22.762,30500,5.1,1546.9181428638885,33.9,0.8470000000000001,9.2,8.9,5233000,23.9,42.9,3.21,1.6,61000000000,74730000000,0.2853
Qatar,QAT,Asia,16.701,124100,3.6,5170.993527161679,41.1,0.8560000000000001,9.8,8.9,1953000,0.5,26.4,4.95,0.4,67500000000,30770000000,0.0752
Romania,ROU,Europa,2.601,24600,3.1,698.3883575034035,27.3,0.811,11,4.9,8951000,20.6,29.3,5.57,1.3,64580000000,78120000000,0.0351375
Russia,RUS,Asia,12.301,27900,3.8,1073.7758176071652,41.2,0.8160000000000001,12,5.2,76530000,16.1,16.4,10.55,3.7,353000000000,238000000000,0.9014
Sao-Tome-And-Principe,STP,Africa,3.401,3200,3.7,124.145284513876,30.8,0.589,6.3,12.2,72600,20.8,26.2,19.61,5.7,15600000,127700000,3.2203333333333335
Saudi-Arabia,SAU,Asia,16.701,54500,5.1,2735.6287472107692,45.9,0.8530000000000001,9.5,6,13800000,24.2,26.4,8.3,-0.9,221100000000,119300000000,0.035
Serbia,SRB,Europa,39.101,15100,4,597.3345992079807,38.7,0.7869999999999999,11.1,14.1,2920000,34.9,42.7,8.2,3.1,15920000000,20440000000,0.7431428571428571
Singapore,SGP,Asia,0.31,94100,2.9,2554.1899579235524,45.9,0.932,11.5,2.2,3657000,9.1,15.7,5.28,0.6,396800000000,312100000000,7.142857142857143e-4
Slovakia,SVK,Europa,6.501,33100,4.6,1518.1155693989392,23.7,0.8550000000000001,12.5,8.1,2758000,22.2,39.4,2.44,1.3,80800000000,80070000000,0.18293333333333334
Slovenia,SVN,Europa,15.601,34500,5.3,1795.891397566083,24.4,0.896,12.2,6.6,959000,15.2,43.1,2.59,1.4,32140000000,30380000000,0.25871428571428573
South-Africa,ZAF,Africa,8.158750000000001,13600,5.9,817.3461241840722,62.5,0.699,10.1,27.5,22190000,53.5,26.6,10.38,5.3,94930000000,89360000000,11.9525
South-Korea,KOR,Asia,0.201,39500,5.1,2018.4527638197112,35.7,0.903,12.1,3.7,27750000,10.4,23.2,3.48,1.9,577400000000,457500000000,0.020142857142857143
Spain,ESP,Europa,7.501,38400,4.3,1549.814157712676,35.9,0.891,9.8,17.2,22750000,38.6,37.9,2.03,2,313700000000,338600000000,0.1273
Sweden,SWE,Europa,21.96887,51200,7.7,3972.3154926379307,24.9,0.933,12.4,6.7,5361000,17.9,50.6,1.93,1.9,165600000000,153200000000,0.2340125
Switzerland,CHE,Europa,34.795,62100,5.1,3217.0160918935912,29.5,0.9440000000000001,13.4,3.2,5159000,8.1,35.7,2.6,0.5,313500000000,264500000000,0.18586666666666668
Tajikistan,TJK,Asia,0.401,3200,5.2,171.8047963934892,32.6,0.65,10.4,2.4,2295000,16.7,31.8,30,7.3,873100000,2390000000,0.21270666666666666
Thailand,THA,Asia,15.11,17900,4.1,738.5464741984279,44.5,0.755,7.6,0.7,38370000,3.7,15.2,4.42,0.7,235100000000,203200000000,2.587625
Tunisia,TUN,Africa,1.101,11900,6.6,789.1673191539319,40,0.735,7.2,15.5,4054000,34.7,24.7,7.31,5.3,13820000000,19090000000,0.0345
Turkey,TUR,Europa,16.501,27000,4.4,1183.6976149288066,40.2,0.7909999999999999,8,10.9,31300000,20.5,20.3,15.77,11.1,166200000000,225100000000,0.777
Uganda,UGA,Africa,0.801,2400,2.3,50.212527618946304,39.5,0.516,6.1,9.4,15840000,2.6,14.5,21.28,5.6,3339000000,5036000000,1.54006
Ukraine,UKR,Europa,9.901,8800,5.9,496.13786983019935,25.5,0.751,11.3,9.2,17990000,23,26.6,16.38,14.4,39690000000,49060000000,0.22356
United-Kingdom,GBR,Europa,5.033,44300,5.6,2515.9262895650522,32.4,0.922,12.9,4.4,33500000,13,39.1,4.38,2.7,441200000000,615900000000,0.03181428571428571
United-States,USA,America_do_Norte,120.503,59800,5,2959.698908265932,45,0.924,13.4,4.4,160400000,9.2,17,4.1,2.1,1553000000000,2361000000000,3.8391555555555557
Uruguay,URY,America_do_Sul,33.663,22400,4.4,1020.6989643839862,41.6,0.804,8.7,7.6,1748000,23.8,29.8,13.83,6.2,11410000000,8607000000,3.5788285714285712
Venezuela,VEN,America_do_Sul,14.863500000000002,12500,6.9,830.8956976350538,39,0.761,10.3,27.1,14210000,14.6,44.2,21.1,1087.5,32060000000,11000000000,28.57428
Zambia,ZMB,Africa,0.901,4000,1.1,46.1068019192854,57.5,0.588,7,15,6898000,15.2,17.4,12.5,6.6,8216000000,7852000000,0.305
