Country,Railways
Mauritania,"total:
          728 km
          
          (2014)
        
        
          standard gauge:
          728 km
          1.435-m gauge
          (2014)"
Mexico,"total:
          15,389 km
          
          (2014)
        
        
          standard gauge:
          15,389 km
          1.435-m gauge (27 km electrified)
          (2014)"
Moldova,"total:
          1,171 km
          
          (2014)
        
        
          standard gauge:
          14 km
          1.435-m gauge
          (2014)
        
        
          broad gauge:
          1,157 km
          1.520-m gauge
          (2014)"
Mongolia,"total:
          1,815 km
          
          (2016)
        
        
          broad gauge:
          1,815 km
          1.520-m gauge
          (2016)
        

  

    
      note: national operator Ulaanbaatar Railway is jointly owned by the Mongolian Government and by the Russian State Railway"
Montenegro,"total:
          250 km
          
          (2017)
        
        
          standard gauge:
          250 km
          1.435-m gauge (224 km electrified)
          (2017)"
Morocco,"total:
          2,067 km
          
          (2014)
        
        
          standard gauge:
          2,067 km
          1.435-m gauge (1,022 km electrified)
          (2014)"
Mozambique,"total:
          4,787 km
          
          (2014)
        
        
          narrow gauge:
          4,787 km
          1.067-m gauge
          (2014)"
Namibia,"total:
          2,628 km
          
          (2014)
        
        
          narrow gauge:
          2,628 km
          1.067-m gauge
          (2014)"
Nepal,"total:
          53 km
          
          (2014)
        
        
          narrow gauge:
          53 km
          0.762-m gauge
          (2014)"
Netherlands,"total:
          3,058 km
          
          (2016)
        
        
          standard gauge:
          3,058 km
          1.435-m gauge (2,314 km electrified)
          (2016)"
New Zealand,"total:
          4,128 km
          
          (2018)
        
        
          narrow gauge:
          4,128 km
          1.067-m gauge (506 km electrified)
          (2018)"
Nigeria,"total:
          3,798 km
          
          (2014)
        
        
          standard gauge:
          293 km
          1.435-m gauge
          (2014)
        
        
          narrow gauge:
          3,505 km
          1.067-m gauge
          (2014)"
Norway,"total:
          4,250 km
          
          (2014)
        
        
          standard gauge:
          4,250 km
          1.435-m gauge (2,518 km electrified)
          (2014)"
Oman,
Pakistan,"total:
          11,881 km
          
          (2015)
        
        
          narrow gauge:
          389 km
          1.000-m gauge
          (2015)
        
        
          broad gauge:
          11,492 km
          1.676-m gauge (293 km electrified)
          (2015)"
Panama,"total:
          77 km
          
          (2014)
        
        
          standard gauge:
          77 km
          1.435-m gauge
          (2014)"
Paraguay,"total:
          30 km
          
          (2014)
        
        
          standard gauge:
          30 km
          1.435-m gauge
          (2014)"
Peru,"total:
          1,854 km
          
          (2014)
        
        
          standard gauge:
          1,730.4 km
          1.435-m gauge (34 km electrified)
          (2014)
        
        
          narrow gauge:
          124 km
          0.914-m gauge
          (2014)"
Philippines,"total:
          77 km
          
          (2017)
        
        
          standard gauge:
          49 km
          1.435-m guage
          (2017)
        
        
          narrow gauge:
          28 km
          1.067-m gauge
          (2017)"
Poland,"total:
          19,231 km
          
          (2016)
        
        
          standard gauge:
          18,836 km
          1.435-m gauge (11,874 km electrified)
          (2016)
        
        
          broad gauge:
          395 km
          1.524-m gauge
          (2016)"
Portugal,"total:
          3,075 km
          
          (2014)
        
        
          narrow gauge:
          108.1 km
          1.000-m gauge
          (2014)
        
        
          broad gauge:
          2,439 km
          1.668-m gauge (1,633.4 km electrified)
          (2014)
        
        
          other:
          528 km
          (gauge unspecified)
          (2014)"
Romania,"total:
          11,268 km
          
          (2014)
        
        
          standard gauge:
          10,781 km
          1.435-m gauge (3,292 km electrified)
          (2014)
        
        
          narrow gauge:
          427 km
          0.760-m gauge
          (2014)
        
        
          broad gauge:
          60 km
          1.524-m gauge
          (2014)"
Russia,"total:
          87,157 km
          
          (2014)
        
        
          narrow gauge:
          957 km
          1.067-m gauge (on Sakhalin Island)
          (2014)
        
        
          broad gauge:
          86,200 km
          1.520-m gauge (40,300 km electrified)
          (2014)
        

  

    
      note: an additional 30,000 km of non-common carrier lines serve industries"
Saint Kitts and Nevis,"total:
          50 km
          
          (2008)
        
        
          narrow gauge:
          50 km
          0.762-m gauge on Saint Kitts for tourists
          (2008)"
Saudi Arabia,"total:
          5,410 km
          
          (2016)
        
        
          standard gauge:
          5,410 km
          1.435-m gauge (with branch lines and sidings)
          (2016)"
Senegal,"total:
          906 km
          (713 km operational in 2017)
          (2017)
        
        
          narrow gauge:
          906 km
          1.000-m gauge
          (2017)"
Serbia,"total:
          3,809 km
          
          (2015)
        
        
          standard gauge:
          3,809 km
          1.435-m gauge (3,526 km one-track lines and 283 km double-track lines) out of which 1,279 km electrified (1,000 km one-track lines and 279 km double-track lines)
          (2015)"
Slovakia,"total:
          3,580 km
          
          (2016)
        
        
          standard gauge:
          3,435 km
          1.435-m gauge (1,587 km electrified)
          (2016)
        
        
          narrow gauge:
          46 km
          1.000-m or 0.750-m gauge
          (2016)
        
        
          broad gauge:
          99 km
          1.520-m gauge
          (2016)"
Slovenia,"total:
          1,229 km
          
          (2014)
        
        
          standard gauge:
          1,229 km
          1.435-m gauge (503 km electrified)
          (2014)"
South Africa,"total:
          20,986 km
          
          (2014)
        
        
          standard gauge:
          80 km
          1.435-m gauge (80 km electrified)
          (2014)
        
        
          narrow gauge:
          19,756 km
          1.065-m gauge (8,271 km electrified)
          (2014)
        
        
          other:
          1,150 km (passenger rail, gauge unspecified, 1,115.5 km electrified)
          (2014)"
South Sudan,"total:
          248 km
          
          (2018)
        

  

    
      note: a narrow gauge, single-track railroad between Babonosa (Sudan) and Wau, the only existing rail system, was repaired in 2010 with $250 million in UN funds, but is not currently operational"
Spain,"total:
          16,102 km
          
          (2014)
        
        
          standard gauge:
          2,312 km
          1.435-m gauge (2,312 km electrified)
          (2014)
        
        
          narrow gauge:
          1,884.9 km
          1.000-m gauge (807 km electrified)
          (2014)
        
        
          broad gauge:
          11,873 km
          1.668-m gauge (6,488 km electrified)
          (2014)
        

  

    
      28 0.914-m gauge (28 km electrified)
3.6 0.600-m gauge"
Sri Lanka,"total:
          1,562 km
          
          (2016)
        
        
          broad gauge:
          1,562 km
          1.676-m gauge
          (2016)"
Sudan,"total:
          7,251 km
          
          (2014)
        
        
          narrow gauge:
          5,851 km
          1.067-m gauge
          (2014)
        

  

    
      1400 0.600-m gauge for cotton plantations"
Sweden,"total:
          14,127 km
          
          (2016)
        
        
          standard gauge:
          14,062 km
          1.435-m gauge (12,322 km electrified)
          (2016)
        
        
          narrow gauge:
          65 km
          0.891-m gauge (65 km electrified)
          (2016)"
Switzerland,"total:
          5,652 km
          
          (2014)
        
        
          standard gauge:
          4,424.8 km
          1.435-m gauge (3,634.1 km electrified)
          (2014)
        
        
          narrow gauge:
          2 km
          1.200-m gauge (2 km electrified)
          (2014)
        

  

    
      1188.3 1.000-m gauge (1,167.3 km electrified)
36.4 0.800-m gauge (36.4 km electrified)"
Syria,"total:
          2,052 km
          
          (2014)
        
        
          standard gauge:
          1,801 km
          1.435-m gauge
          (2014)
        
        
          narrow gauge:
          251 km
          1.050-m gauge
          (2014)"
Taiwan,"total:
          1,613 km
          
          (2018)
        
        
          standard gauge:
          345 km
          1.435-m gauge (345 km electrified)
          (2018)
        
        
          narrow gauge:
          1,118.1 km
          1.067-m gauge (793.9 km electrified)
          (2018)
        

  

    
      150 0.762-m gauge
note: the 0.762-gauge track belongs to three entities: the Forestry Bureau, Taiwan Cement, and TaiPower"
Tajikistan,"total:
          680 km
          
          (2014)
        
        
          broad gauge:
          680 km
          1.520-m gauge
          (2014)"
Tanzania,"total:
          4,567 km
          
          (2014)
        
        
          narrow gauge:
          1,860 km
          1.067-m gauge
          (2014)
        

  

    
      2707 1.000-m gauge"
Thailand,"total:
          4,127 km
          
          (2017)
        
        
          standard gauge:
          84 km
          1.435-m gauge (84 km electrified)
          (2017)
        
        
          narrow gauge:
          4,043 km
          1.000-m gauge
          (2017)"
Togo,"total:
          568 km
          
          (2014)
        
        
          narrow gauge:
          568 km
          1.000-m gauge
          (2014)"
